backbone,k,b5_defer,b5_coverage_at_defer20,v0_fp_at_b5cov,v1_fp_at_b5cov,b5_fp_at_defer20,v1_pick_recall_at_b5cov,b5_pick_recall_at_defer20,same_coverage_recall_gap_b5_minus_v1,v1_fp_reduction_vs_v0_pp,v1_fp_delta_vs_b5_pp,v1_beats_b5family_share,v1_max_coverage,b5family_max_coverage,source_csv
vitb32,16,0.2,0.602816,0.11312929087914177,0.060045254733218596,0.042505,0.6220033838209983,0.658107,0.03610361617900171,5.308403614592317,1.7540254733218594,0.0,0.924654,0.727622,outputs\probe_512d_endpoint\vitb32\frontier_vitb32_K16.csv
vitb16,16,0.2,0.635936,0.09016637259677006,0.04712482739671871,0.057983,0.6796100135006917,0.74675,0.0671399864993083,4.304154520005135,-1.0858172603281293,0.8181818181818182,0.934907,0.758111,outputs\probe_512d_endpoint\vitb16\frontier_vitb16_K16.csv
vitl14,16,0.2,0.597251,0.14229869877708645,0.060175550725533836,0.10553,0.5679814995259295,0.67475,0.1067685004740705,8.21231480515526,-4.535444927446616,1.0,0.921619,0.729056,outputs\probe_512d_endpoint\vitl14\frontier_vitl14_K16.csv
